"Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26"
"calidad","produccion","proyectos","sistemas","ventas","procesos","mantenimiento","negocio","creditos","almacen","asistente","proyectos","desarrollo","informatica","seguridad","ventas","tecnico","seguridad","tecnico","atencion","mantenimiento","gestion","tecnico","jefe","tecnico","comercial"
"productos","industrial","comunicacion","informacion","comercial","gestion","tecnico","gestion","administracion","inventarios","compras","obra","sistemas","computacion","gestion","marketing","electricos","ambiental","electronica","cliente","mecanico","desarrollo","electronica","supervisar","sistemas","cliente"
"control","planta","excel","informatica","productos","industrial","preventivo","comerciales","contabilidad","productos","administracion","construccion","analista","tecnico","industrial","consumo","electricista","capacitacion","planta","credito","mecanica","contratacion","instalacion","controlar","informatica","servicio"
"produccion","textil","ingles","analista","industrial","control","correctivo","desarrollar","evaluacion","control","proveedores","obras","programador","office","ocupacional","masivo","mantenimiento","sst","agua","administracion","tecnico","responsable","electronico","coordinar","computacion","comerciales"
"laboratorio","organizacion","presion","proyectos","cliente","administracion","operaciones","financiero","economia","distribucion","industrial","elaboracion","programacion","auxiliar","normas","comercial","instalacion","ocupacional","mantenimiento","cuentas","maquinaria","proyectos","contratacion","supervisor","configuracion","productos"
"analisis","planeamiento","industrial","sql","tecnico","elaboracion","red","financieros","analista","despacho","compra","ejecucion","java","documentos","riesgos","productos","electricas","industrial","maquinas","documentacion","taller","direccion","lider","operaciones","electronica","tecnico"
"planta","programacion","office","gestion","administracion","analista","operacion","comercial","microfinanzas","almacenes","seguimiento","presupuestos","sql","contratacion","iso","supervisor","contar","especialista","control","cobranzas","repuestos","gerencia","mantenimiento","coordinador","cliente","ventas"
"quimica","tecnica","word","implementacion","contratacion","indicadores","aire","economia","cobranza","administracion","ordenes","diseno","informatica","tecnicos","supervisor","administracion","sistemas","ambientales","seguridad","creditos","servicio","administracion","electricidad","control","instalacion","informacion"
"industrias","accenture","administracion","tecnico","ejecutivo","analisis","electricidad","administracion","captacion","industrial","elaboracion","autocad","aplicaciones","docente","procedimientos","comunicacion","instalaciones","firegroup","operador","contabilidad","electrico","capacitacion","instrumentacion","administracion","servicio","seguimiento"
"agroindustrial","comprometida","contratacion","analisis","servicio","elaborar","electricista","politicas","gestionar","recepcion","administrativo","arquitectura","tecnico","diseno","prevencion","industrial","electrico","coaching","tecnicos","operaciones","reparacion","maestria","automatizacion","dirigir","windows","ingles"
"procesos","tecnologia","analisis","desarrollo","tecnicos","procedimientos","elementos","contabilidad","calidad","mercaderia","entrega","colegiado","server","personas","ambiental","desarrollo","tableros","gestion","industrial","tarjetas","electrica","formacion","exterior","servicio","usuarios","office"
"contratacion","responsabilidad","microsoft","procesos","asesor","informacion","cliente","necesidades","industrial","stock","coordinar","costos","diseno","expedientes","jefe","comerciales","industrial","capacitador","sistemas","cuadre","contratacion","ingles","tecnicos","gestion","hardware","industrial"
"producto","jefe","habilidades","sap","marketing","seguimiento","acondicionado","seguimiento","aprobacion","asistente","informacion","contratacion","analisis","responsabilidad","minas","retail","puesta","especialistas","procesos","atender","mecanicos","institucion","electronicos","cliente","comunicaciones","comunicacion"
"aseguramiento","ingles","orientacion","server","lider","calidad","energia","productos","practica","tecnico","control","supervision","oracle","grafico","supervision","personas","tension","tr","cctv","consultas","tecnicos","comunicacion","industriales","calidad","tecnicos","relaciones"
"gestion","desarrollo","proactivo","computacion","vendedor","costos","electromecanico","lider","financiero","guias","cliente","control","visual","asistente","estandares","jefe","electrica","peligrosos","tratamiento","economia","cliente","academica","control","planificar","computo","tecnicas"
"alimentarias","comunicacion","liderazgo","oracle","contar","proyectos","office","industrial","financieras","inventario","excel","titulado","proyectos","archivo","responsable","capacitar","electronico","quimico","plantas","reclamos","maquinas","proactivo","responsable","procesos","impresoras","desarrollar"
"desarrollo","interes","point","bases","personas","organizacion","servicio","adecuada","poner","excel","contabilidad","estructuras","contratacion","practicas","implementacion","estrategias","electricidad","responsabilidad","industriales","ejecutivo","pesada","ejecucion","presion","industrial","servidores","propuestas"
"ingles","responsable","organizacion","tecnologias","facilidad","desarrollo","ejecucion","gestionar","estrategias","almacenamiento","registro","project","pruebas","excel","coordinar","evaluar","contratacion","formacion","produccion","banca","soldadura","titulo","capacitacion","garantizar","mantenimiento","orientacion"
"bpm","persona","power","administrador","codigo","reportes","refrigeracion","activos","efectivas","pedidos","reportes","ms","c#","organizacion","higiene","coordinar","marcha","sistemas","contratacion","solicitud","planta","poseer","instalaciones","organizar","atencion","representante"
"jefe","proactiva","planificacion","certificacion","encargo","operaciones","procedimientos","revisar","asesor","cliente","elaborar","desarrollo","computacion","microsoft","inspecciones","gestionar","cableado","metalurgico","impresion","industrial","preventivo","ordenado","ingles","asegurar","operativos","elaborar"
