Jefe	ncms	B-JOB
de	sp	O
seguridad	ncfs	B-AREA
medio	sp	I-AREA
ambiente	ncms	I-AREA
.	fp	O

Funciones	ncfp	O
:	fd	O

Antes	rg	O
de	sp	O
iniciar	vmn	O
el	da0ms	O
proyecto	ncms	O
deberá	vmi	B-FUN
preparar	vmn	I-FUN
la	da0fs	I-FUN
documentación	ncfs	I-FUN
pertinente	aqcs	I-FUN
acorde	ncms	I-FUN
a	sp	I-FUN
las	da0fp	I-FUN
exigencias	ncfp	I-FUN
del	sp	I-FUN
cliente	nccs	I-FUN
.	fp	O
asimismo	rg	O
,	fc	O
al	sp	O
finalizar	vmn	O
el	da0ms	O
proyecto	ncms	O
deberá	vmi	B-FUN
elaborar	vmn	I-FUN
un	di0ms	I-FUN
dossier	ncms	I-FUN
de	sp	I-FUN
seguridad	ncfs	I-FUN
,	fc	I-FUN
medio	aqms	I-FUN
ambiente	ncms	I-FUN
,	fc	O
con	sp	O
el	da0ms	O
fin	ncms	O
de	sp	O
documentar	vmn	B-FUN
para	sp	I-FUN
efectos	ncmp	I-FUN
de	sp	I-FUN
auditoría	ncfs	I-FUN
y	cc	I-FUN
trazabilidad	ncfs	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
gestión	ncfs	I-FUN
.	fp	O

Coordinar	vmn	B-FUN
permanentemente	rg	I-FUN
con	sp	I-FUN
los	da0mp	I-FUN
responsables	nccp	I-FUN
de	sp	I-FUN
seguridad	ncfs	I-FUN
,	fc	I-FUN
salud	ncfs	I-FUN
y	cc	I-FUN
medio	pn0ms	I-FUN
ambiente	ncms	I-FUN
del	sp	I-FUN
cliente	nccs	I-FUN

Responsable	nccs	B-FUN
de	sp	I-FUN
la	da0fs	I-FUN
seguridad	ncfs	I-FUN
fisica	aqfs	I-FUN
patrimonial	ncfs	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
empresa	ncfs	I-FUN
.	fp	O

Implementar	vmn	B-FUN
,	fc	I-FUN
mantener	vmn	I-FUN
y	cc	I-FUN
mejorar	vmn	I-FUN
los	pp3mp	I-FUN
:	fd	I-FUN
puntos	ncmp	I-FUN
de	sp	I-FUN
inspección	ncfs	I-FUN
,	fc	I-FUN
instructivos	ncmp	I-FUN
de	sp	I-FUN
campo	ncms	I-FUN
,	fc	I-FUN
formatos	ncmp	I-FUN
,	fc	I-FUN
coordinación	ncfs	I-FUN
de	sp	I-FUN
entrega	ncfs	I-FUN
de	sp	I-FUN
certificados	ncmp	I-FUN
de	sp	I-FUN
calidad	ncfs	I-FUN
,	fc	I-FUN
dossier	ncms	I-FUN
de	sp	I-FUN
calidad	ncfs	I-FUN
.	fp	O

Cumplir	vmn	B-FUN
con	sp	I-FUN
la	da0fs	I-FUN
documentacion	ncfs	I-FUN
asociado	vmp	I-FUN
al	sp	I-FUN
sistema	ncms	I-FUN
de	sp	I-FUN
gestión	ncms	I-FUN
de	sp	I-FUN
calidad	ncfs	I-FUN
.	fp	O

Coordinar	vmn	B-FUN
con	sp	I-FUN
producción	vmn	I-FUN
la	da0fs	I-FUN
entrega	ncfs	I-FUN
y	cc	I-FUN
actualización	ncfs	I-FUN
permanente	aqcs	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
procedimientos	ncmp	I-FUN
de	sp	I-FUN
fabricación	ncms	I-FUN
de	sp	I-FUN
estructura	ncfs	I-FUN
,	fc	I-FUN
granallado	aqms	I-FUN
,	fc	I-FUN
paneles	ncmp	I-FUN
,	fc	I-FUN
montaje	ncms	I-FUN
,	fc	I-FUN
entre	sp	I-FUN
otros	pi0mp	I-FUN
.	fp	O

Informar	vmn	B-FUN
mensualmente	rg	I-FUN
a	sp	I-FUN
la	da0fs	I-FUN
gerencia	ncfs	I-FUN
de	sp	I-FUN
operaciones	ncfp	I-FUN
sobre	sp	I-FUN
los	da0mp	I-FUN
resultados	ncmp	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
supervision	ncfs	I-FUN
de	sp	I-FUN
control	ncms	I-FUN
de	sp	I-FUN
calidad	ncfs	I-FUN
durante	sp	I-FUN
el	da0ms	I-FUN
proceso	ncms	I-FUN
de	sp	I-FUN
fabricación	ncfs	I-FUN
.	fp	O

Llevar	vmn	B-FUN
a	sp	I-FUN
cabo	vmn	I-FUN
el	da0ms	I-FUN
seguimiento	ncms	I-FUN
a	sp	I-FUN
los	da0mp	I-FUN
productos	ncmp	I-FUN
no	rn	I-FUN
conformes	vmi	I-FUN
y	cc	I-FUN
no	rn	I-FUN
conformidades	vmi	I-FUN
en	sp	I-FUN
los	da0mp	I-FUN
procesos	ncmp	I-FUN
constructivos	aqmp	I-FUN
que	pr0cn	I-FUN
impactan	vmi	I-FUN
a	sp	I-FUN
la	da0fs	I-FUN
calidad	ncfs	I-FUN
del	sp	I-FUN
producto	ncms	I-FUN
.	fp	O

Llevar	vmn	B-FUN
control	ncms	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
documentacion	ncfs	I-FUN
de	sp	I-FUN
protocolos	ncmp	I-FUN
,	fc	I-FUN
manuales	aqcp	I-FUN
,	fc	I-FUN
etc	fs	I-FUN
.	fp	I-FUN
referentes	nccp	I-FUN
a	sp	I-FUN
los	da0mp	I-FUN
procesos	ncmp	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
construccion	ncfs	I-FUN
de	sp	I-FUN
modulos	ncmp	I-FUN
.	fp	O

Monitorear	vmn	B-FUN
el	da0ms	I-FUN
proceso	ncms	I-FUN
de	sp	I-FUN
control	ncms	I-FUN
de	sp	I-FUN
calidad	ncfs	I-FUN
.	fp	O

Participar	vmn	B-FUN
en	sp	I-FUN
auditorias	ncms	I-FUN
del	sp	I-FUN
sistema	ncms	I-FUN
de	sp	I-FUN
gestión	ncms	I-FUN
de	sp	I-FUN
calidad	ncfs	I-FUN
.	fp	O

Otras	di0fp	B-FUN
funciones	ncfp	I-FUN
que	pr0cn	I-FUN
le	pp3cs	I-FUN
sean	vss	I-FUN
asignadas	vmp	I-FUN
por	sp	I-FUN
su	dp3cs	I-FUN
jefe	ncms	I-FUN
inmediato	aqms	I-FUN
,	fc	I-FUN
inherente	aqcs	I-FUN
a	sp	I-FUN
su	dp3cs	I-FUN
cargo	ncms	I-FUN
.	fp	O

Requerimientos	ncmp	O
:	fd	O

Universitario	ncms	O
título	ncms	B-REQ
en	sp	O
ingeniería	np00	B-CARR
mecánica	np00	I-CARR
.	fp	O

Universitario	ncms	O
título	ncms	B-REQ
en	sp	O
ingeniería	np00	B-CARR
en	sp	I-CARR
higiene	np00	I-CARR
y	cc	I-CARR
seguridad	np00	I-CARR
industrial	np00	I-CARR
.	fp	O

Universitario	ncms	O
