Representante	nccs	B-JOB
institucional	aqcs	I-JOB
(	fpa	O
622	z	B-MISC
-	fg	I-MISC
1730	z	I-MISC
)	fpt	O
.	fp	O

Funciones	ncfp	O
:	fd	O

Visitar	vmn	B-FUN
a	sp	I-FUN
los	da0mp	I-FUN
médicos	ncmp	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
institución	ncfs	I-FUN
asignada	aqfs	I-FUN
;	fx	O
al	sp	O
iniciar	vmn	O
el	da0ms	O
turno	ncms	O
am	w	O
/	fh	O
pm	w	O
)	fpt	O
,	fc	O
a	sp	O
medio	dn0ms	O
turno	ncms	O
y	cc	O
al	sp	O
cambio	ncms	O
de	sp	O
turno	ncms	O
.	fp	O

Realizar	vmn	B-FUN
el	da0ms	I-FUN
refills	np00	I-FUN
(	fpa	I-FUN
reposición	ncfs	I-FUN
de	sp	I-FUN
muestras	ncfp	I-FUN
médicas	aqfp	I-FUN
)	fpt	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
muestras	ncfp	I-FUN
medicas	aqfp	I-FUN
a	sp	I-FUN
los	da0mp	I-FUN
doctores	ncmp	I-FUN
prescriptores	aqmp	I-FUN
.	fp	O

Reforzar	vmn	B-FUN
la	da0fs	I-FUN
promoción	ncfs	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
productos	ncmp	I-FUN
de	sp	I-FUN
baja	aqfs	I-FUN
prescripción	ncfs	I-FUN
en	sp	I-FUN
la	da0fs	I-FUN
institución	ncfs	I-FUN
asignada	vmp	I-FUN
de	sp	I-FUN
acuerdo	ncms	I-FUN
a	sp	I-FUN
la	da0fs	I-FUN
técnica	ncfs	I-FUN
de	sp	I-FUN
visita	ncfs	I-FUN
institucional	aqcs	I-FUN
.	fp	O

Entregar	vmn	B-FUN
materiales	ncmp	I-FUN
promocionales	aqmp	I-FUN
asignados	ncmp	I-FUN
(	fpa	I-FUN
recetarios	ncmp	I-FUN
,	fc	I-FUN
chequeras	ncfp	I-FUN
,	fc	I-FUN
gymmicks	np00	I-FUN
,	fc	I-FUN
etc	fs	I-FUN
.	fp	I-FUN
)	fpt	I-FUN
con	sp	O
la	da0fs	O
finalidad	ncfs	O
de	sp	O
generar	vmn	B-FUN
prescripciones	vmn	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
productos	ncmp	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
empresa	ncfs	I-FUN
.	fp	O

Llenar	vmn	B-FUN
formatos	ncmp	I-FUN
de	sp	I-FUN
diario	ncms	I-FUN
-	fg	I-FUN
stock	ncms	I-FUN
sam	aqms	I-FUN
para	sp	I-FUN
conocer	vmn	I-FUN
la	da0fs	I-FUN
evolución	ncfs	I-FUN
de	sp	I-FUN
cada	di0cs	I-FUN
medico	vmi	I-FUN
según	sp	I-FUN
el	da0ms	I-FUN
consumo	ncms	I-FUN
de	sp	I-FUN
sus	dp3cp	I-FUN
mm	ncmp	I-FUN
,	fc	O
así	rg	O
como	cs	O
llevar	vmn	B-FUN
un	di0ms	I-FUN
control	ncms	I-FUN
de	sp	I-FUN
stock	ncms	I-FUN
de	sp	I-FUN
mm	zu	I-FUN
que	pr0cn	I-FUN
manejan	vmi	I-FUN
.	fp	O

Desarrollar	vmn	B-FUN
excelentes	aqcp	I-FUN
relaciones	ncfp	I-FUN
con	sp	I-FUN
el	da0ms	I-FUN
personal	ncms	I-FUN
de	sp	I-FUN
salud	ncfs	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
institución	ncfs	I-FUN
:	fd	O
enfermeras	ncfp	O
,	fc	O
técnicas	ncfp	O
,	fc	O
etc	fs	O
.	fp	O
con	sp	O
la	da0fs	O
finalidad	ncfs	O
de	sp	O
ser	vsn	O
apoyados	vmp	O
por	sp	O
este	dd0ms	O
personal	ncms	O
en	sp	O
el	da0ms	O
acceso	ncms	O
a	sp	O
la	da0fs	O
promoción	ncfs	O
y	cc	O
refills	vmi	O
de	sp	O
vuestra	dp2fs	O
labor	ncfs	O
promocional	aqcs	O
.	fp	O

Informar	vmn	B-FUN
diariamente	rg	I-FUN
al	sp	I-FUN
coordinador	ncms	I-FUN
,	fc	I-FUN
supervisor	ncms	I-FUN
y	cc	I-FUN
representantes	nccp	I-FUN
medicos	aqmp	I-FUN
que	pr0cn	I-FUN
ingresan	vmi	I-FUN
a	sp	I-FUN
la	da0fs	I-FUN
institución	ncfs	I-FUN
sobre	sp	I-FUN
la	da0fs	I-FUN
performance	ncfs	I-FUN
prescriptiva	aqfs	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
productos	ncmp	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
empresa	ncfs	I-FUN
por	sp	I-FUN
parte	ncfs	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
medicos	ncmp	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
institucion	ncfs	I-FUN
a	sp	O
fin	ncms	O
de	sp	O
desarrollar	vmn	B-FUN
estrategias	ncfp	I-FUN
promocionales	aqfp	I-FUN
en	sp	I-FUN
equipo	ncms	O
para	sp	O
lograr	vmn	B-FUN
el	da0ms	I-FUN
crecimiento	ncms	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
prescripción	ncfs	I-FUN
y	cc	I-FUN
rotación	vmi	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
productos	ncmp	I-FUN
en	sp	I-FUN
las	da0fp	I-FUN
farmacias	ncfp	I-FUN
aledanas	aqfp	I-FUN
.	fp	O

Coordinar	vmn	B-FUN
con	sp	I-FUN
el	da0ms	I-FUN
equipo	ncms	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
