Técnico	ncms	B-REQ
Mecánico	np00	B-CARR
-	fg	O
Servicio	ncms	B-AREA
PostVenta	ncfs	I-AREA
.	fp	O

Importante	aqcs	O
empresa	ncfs	O
dedicada	aqfs	O
a	sp	O
brindar	vmn	O
soluciones	ncfp	O
integrales	aqcp	O
de	sp	O
automatización	ncfs	O
industrial	aqcs	O
,	fc	O
edificios	ncmp	O
inteligentes	aqcp	O
,	fc	O
manejos	ncmp	O
de	sp	O
fluidos	ncmp	O
,	fc	O
sistemas	ncmp	O
de	sp	O
protección	ncfs	O
contra	sp	O
incendios	ncmp	O
,	fc	O
suministro	ncms	O
y	cc	O
servicio	ncms	O
de	sp	O
post	np00	O
-	fg	O
venta	ncfs	O
,	fc	O
requiere	vmi	O
integrar	vmn	O
a	sp	O
su	dp3cs	O
equipo	ncms	O
de	sp	O
colaboradores	ncmp	O
a	sp	O
un	di0ms	O
profesional	aqcs	O
para	sp	O
el	da0ms	O
puesto	ncms	O
de	sp	O
TÉCNICO	ncms	B-REQ
MECÁNICO	np00	B-CARR
POSTVENTA	ncfs	B-AREA
.	fp	O

FUNCIONES	ncfp	O
Y	cc	O
RESPONSABILIDADES	ncfp	O
:	fd	O

*	fz	O
Realizar	vmn	B-FUN
mantenimientos	ncmp	I-FUN
preventivos	aqmp	I-FUN
y	cc	I-FUN
correctivos	aqmp	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
sistemas	ncmp	I-FUN
de	sp	I-FUN
agua	ncfs	I-FUN
contra	sp	I-FUN
incendio	ncms	I-FUN
instalados	aqmp	I-FUN
.	fp	O

*	fz	O
Realizar	vmn	B-FUN
mantenimiento	ncms	I-FUN
de	sp	I-FUN
sistemas	ncmp	I-FUN
de	sp	I-FUN
bombeo	ncms	I-FUN
(	fpa	I-FUN
agua	ncfs	I-FUN
potable	aqcs	I-FUN
,	fc	I-FUN
sumidero	np00	I-FUN
,	fc	I-FUN
otros	pi0mp	I-FUN
)	fpt	I-FUN
,	fc	I-FUN
Motobombas	vmi	I-FUN
contra	sp	I-FUN
incendio	ncms	I-FUN
(	fpa	I-FUN
listadas	vmp	I-FUN
y	cc	I-FUN
no	rn	I-FUN
listadas	vmp	I-FUN
)	fpt	I-FUN
.	fp	O

*	fz	O
Elaborar	vmn	B-FUN
Protocolos	ncmp	I-FUN
de	sp	I-FUN
Pruebas	ncfp	I-FUN
.	fp	O

*	fz	O
Elaborar	vmn	B-FUN
informes	ncmp	I-FUN
de	sp	I-FUN
correctivos	ncmp	I-FUN
.	fp	O

*	fz	O
Elaborar	vmn	B-FUN
cotizaciones	ncfp	I-FUN
.	fp	O

*	fz	O
Otras	di0fp	B-FUN
funciones	ncfp	I-FUN
que	cs	I-FUN
su	dp3cs	I-FUN
jefe	ncms	I-FUN
inmediato	aqms	I-FUN
crea	vms	I-FUN
conveniente	aqcs	I-FUN
asignar	vmn	I-FUN
.	fp	O

REQUISITOS	ncmp	O
:	fd	O

*	fz	O
Profesional	nccs	B-REQ
Téc	aqms	I-REQ
.	fp	O
Mecánico	np00	B-CARR
,	fc	O
Ing	np00	B-CARR
.	fp	I-CARR
Electromecánico	np00	I-CARR
o	cc	O
carreras	ncfp	B-CARR
afines	aqcp	I-CARR
a	sp	O
las	da0fp	O
funciones	ncfp	O
del	sp	O
puesto	ncms	O
.	fp	O

*	fz	O
Mínimo	rg	O
1	z	O
año	ncms	O
de	sp	O
experiencia	ncfs	O
en	sp	O
mantenimiento	ncms	B-FUN
y	cc	I-FUN
reparación	ncfs	I-FUN
de	sp	I-FUN
electrobombas	ncfp	I-FUN
.	fp	O

*	fz	O
Dominio	ncms	O
de	sp	O
Inglés	np00	B-REQ
a	sp	O
nivel	ncms	O
Básico	aqms	O
.	fp	O

*	fz	O
Manejo	ncms	O
de	sp	O
Office	np00	B-REQ
a	sp	O
Nivel	ncms	O
Intermedio	aqms	O
(	fpa	O
Word	np00	B-REQ
/	fh	O
Excel	np00	B-REQ
/	fh	O
PPT	np00	B-REQ
)	fpt	O
.	fp	O

COMPETENCIAS	ncfp	O
:	fd	O

*	fz	O
Proactivo	aqms	B-REQ
.	fp	O

*	fz	O
Comunicación	ncfs	B-REQ
Efectiva	aqfs	I-REQ
.	fp	O

*	fz	O
Trabajo	ncms	B-REQ
en	sp	I-REQ
Equipo	ncms	I-REQ
.	fp	O

*	fz	O
Destreza	ncfs	B-REQ
Manual	aqcs	I-REQ
.	fp	O

BENEFICIOS	ncmp	O
:	fd	O

En	sp	O
planilla	ncms	B-BEN
desde	sp	O
el	da0ms	O
primer	aoms	O
día	ncms	O
con	sp	O
todos	di0mp	B-BEN
los	da0mp	I-BEN
beneficios	ncmp	I-BEN
de	sp	I-BEN
ley	ncfs	I-BEN
.	fp	O

CONDICIONES	ncfp	O
DEL	sp	O
TRABAJO	ncms	O
:	fd	O

Horario	ncms	O
:	fd	O
Lunes	w	B-DATE
-	fg	I-DATE
Viernes	w	I-DATE
:	fd	I-DATE
8:30am	w	I-DATE
-	fg	I-DATE
5:00pm	w	I-DATE
.	fp	O
/	fh	O
Sábados	w	B-DATE
:	fd	I-DATE
9:00am	w	I-DATE
-	fg	I-DATE
1:00pm	w	I-DATE

Distrito	ncms	O
de	sp	O
San	np00	B-LUG
Luis	np00	I-LUG

