Bibliotecólogo	ncms	B-JOB
.	fp	O

Requisitos	ncmp	O

*	fz	O
Bachiller	ncms	O
en	sp	O
Bibliotecología	np00	B-CARR
y	cc	O
Ciencias	np00	B-CARR
de	sp	I-CARR
la	da0fs	I-CARR
Información	np00	I-CARR

*	fz	O
Experiencia	ncfs	O
no	rn	O
menor	aqcs	O
a	sp	O
1	z	O
año	ncms	O
en	sp	O
el	da0ms	O
puesto	ncms	O
.	fp	O

*	fz	O
Manejo	ncms	O
de	sp	O
BD	np00	B-REQ
en	sp	I-REQ
biblioteca	ncfs	I-REQ
.	fp	O

*	fz	O
Deseable	aqcs	O
conocimientos	ncmp	O
en	sp	O
Educación	ncfs	B-REQ
e	cc	O
Investigación	ncfs	B-REQ
,	fc	O
Historia	ncfs	B-REQ
,	fc	O
Calidad	ncfs	B-REQ
de	sp	I-REQ
servicio	ncms	I-REQ
,	fc	O
Atención	ncfs	B-REQ
al	sp	I-REQ
usuario	ncms	I-REQ
,	fc	O
gestión	ncfs	B-REQ
de	sp	I-REQ
servicios	ncmp	I-REQ
,	fc	O
Gestión	ncfs	B-REQ
de	sp	I-REQ
Colecciones	ncfp	I-REQ
,	fc	O
Promoción	ncfs	B-REQ
de	sp	I-REQ
lectura	ncfs	I-REQ
o	cc	O
Marketing	ncms	B-REQ
Bibliotecario	aqms	I-REQ
.	fp	O

*	fz	O
Competencias	ncfp	O
a	sp	O
evaluar	vmn	O
:	fd	O
Compromiso	ncms	B-REQ
,	fc	O
vocación	ncfs	O
de	sp	O
servicio	ncms	O
,	fc	O
buen	aqms	O
manejo	ncms	O
de	sp	O
relaciones	ncfp	B-REQ
interpersonales	aqcp	I-REQ
,	fc	O
etc	fs	O
.	fp	O

Funciones	ncfp	O

*	fz	O
Orientar	vmn	B-FUN
al	sp	I-FUN
usuario	ncms	I-FUN
en	sp	I-FUN
el	da0ms	I-FUN
uso	ncms	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
Bases	ncfp	I-FUN
de	sp	I-FUN
datos	ncmp	I-FUN
académicas	aqmp	I-FUN
.	fp	O

*	fz	O
Apoyar	vmn	B-FUN
el	da0ms	I-FUN
monitoreo	ncms	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
Colección	ncfs	I-FUN
.	fp	O

*	fz	O
Apoyar	vmn	B-FUN
la	da0fs	I-FUN
promoción	ncfs	I-FUN
y	cc	I-FUN
difusión	ncfs	I-FUN
del	sp	I-FUN
uso	ncms	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
Colección	ncfs	I-FUN
.	fp	O

*	fz	O
Apoyar	vmn	B-FUN
la	da0fs	I-FUN
diseminación	ncfs	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
información	ncfs	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
diversos	di0mp	I-FUN
