AYUDANTE	nccs	B-JOB
DE	sp	O
PRODUCCION	ncfs	B-AREA
(	fpa	O
PLANTA	ncfs	B-AREA
QUIMICOS	ncmp	I-AREA
)	fpt	O
.	fp	O

*	fz	O
Voltear	vmn	B-FUN
las	da0fp	I-FUN
bandejas	ncfp	I-FUN
con	sp	I-FUN
sulfato	ncms	I-FUN
cristalizado	aqms	I-FUN
.	fp	O

*	fz	O
Verificar	vmn	B-FUN
y	cc	I-FUN
cambiar	vmn	I-FUN
la	da0fs	I-FUN
malla	ncfs	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
zaranda	ncfs	I-FUN
clasificadora	aqfs	I-FUN
.	fp	O

*	fz	O
Poner	vmn	B-FUN
en	sp	I-FUN
funcionamiento	vmn	I-FUN
el	da0ms	I-FUN
sistema	ncms	I-FUN
de	sp	I-FUN
molienda	ncfs	I-FUN
,	fc	I-FUN
de	sp	I-FUN
acuerdo	ncms	I-FUN
a	sp	I-FUN
procedimiento	ncms	I-FUN
.	fp	O

*	fz	O
Alimentar	vmn	B-FUN
las	da0fp	I-FUN
fajas	ncfp	I-FUN
hacia	sp	I-FUN
los	da0mp	I-FUN
molinos	ncmp	I-FUN
.	fp	O

*	fz	O
Alimentar	vmn	B-FUN
la	da0fs	I-FUN
tolva	ncfs	I-FUN
de	sp	I-FUN
embolsado	ncms	I-FUN
.	fp	O

*	fz	O
Realizar	vmn	B-FUN
la	da0fs	I-FUN
limpieza	ncfs	I-FUN
del	sp	I-FUN
sistema	ncms	I-FUN
de	sp	I-FUN
molienda	ncms	I-FUN
por	sp	I-FUN
cambio	ncms	I-FUN
de	sp	I-FUN
producción	ncfs	I-FUN
.	fp	O

*	fz	O
Realizar	vmn	B-FUN
la	da0fs	I-FUN
molienda	ncfs	I-FUN
de	sp	I-FUN
Sulfato	ncms	I-FUN

*	fz	O
Realizar	vmn	B-FUN
el	da0ms	I-FUN
apoyo	ncms	I-FUN
a	sp	I-FUN
zonas	ncfp	I-FUN
de	sp	I-FUN
producción	ncfs	I-FUN
.	fp	O

Secundaria	ncfs	O
.	fp	O

Experiencia	ncfs	O
:	fd	O

en	sp	O
el	da0ms	O
área	ncfs	O
de	sp	O
Producción	ncfs	B-AREA
con	sp	O
3	z	O
meses	ncmp	O
de	sp	O
experiencia	ncfs	O
.	fp	O

