Ingeniero	ncms	B-JOB
de	sp	I-JOB
procesos	ncmp	I-JOB
.	fp	O

Funciones	ncfp	O
:	fd	O

Requerimientos	ncmp	O
:	fd	O

Profesional	nccs	B-REQ
titulado	aqms	I-REQ
en	sp	O
ingeniería	np00	B-CARR
petroquímica	np00	I-CARR
o	cc	O
química	np00	B-CARR
.	fp	O

Experiencia	ncfs	O
laboral	aqcs	O
mínima	ncfs	O
de	sp	O
4	z	O
años	ncmp	O
en	sp	O
ingeniería	ncms	B-AREA
de	sp	I-AREA
proyectos	ncmp	I-AREA
,	fc	O
indispensable	aqcs	O
en	sp	O
el	da0ms	O
sector	ncms	O
energía	ncfs	B-AREA
y/o	cc	O
hidrocarburos	ncmp	B-AREA
.	fp	O

Indispensable	aqcs	O
conocimiento	ncms	O
de	sp	O
normas	ncfp	B-REQ
API	aqfp	I-REQ
,	fc	O
ASTM	np00	B-REQ
,	fc	O
ISA	np00	B-REQ
,	fc	O
ANSI	np00	B-REQ
,	fc	O
ASME	np00	B-REQ
,	fc	O
NFPA	np00	B-REQ
,	fc	O
NACE	np00	B-REQ

Elaborar	vmn	B-FUN
planos	ncmp	I-FUN
de	sp	I-FUN
proceso	ncms	I-FUN
PFD	aqms	I-FUN
y	cc	I-FUN
P	np00	I-FUN
&	np00	I-FUN
ID	np00	I-FUN
.	fp	O

Conocimientos	ncmp	O

Deberá	vmi	O
contar	vmn	O
con	sp	O
conocimiento	ncms	O
en	sp	O
seguridad	ncfs	B-REQ
industrial	aqcs	I-REQ
de	sp	I-REQ
procesos	ncmp	I-REQ
y	cc	O
en	sp	O
instrumentación	ncfs	B-REQ
,	fc	O
en	sp	O
simuladores	ncmp	B-REQ
de	sp	I-REQ
procesos	ncmp	I-REQ
a	sp	O
nivel	ncms	O
básico	aqms	O
,	fc	O
en	sp	O
normas	ncfp	B-REQ
legales	aqcp	I-REQ
y	cc	O
técnicas	ncfp	B-REQ
de	sp	I-REQ
equipos	ncmp	I-REQ
y	cc	O
plantas	ncfp	B-REQ
industriales	aqcp	I-REQ
,	fc	O
en	sp	O
seguridad	ncfs	B-REQ
industrial	aqcs	I-REQ
,	fc	O
y	cc	O
gestión	ncfs	B-REQ
de	sp	I-REQ
proyectos	ncmp	I-REQ
.	fp	O

Mínimo	rg	O
con	sp	O
conocimientos	ncmp	O
de	sp	O
inglés	np00	B-REQ
a	sp	O
nivel	ncms	O
intermedio	aqms	O
.	fp	O

Mínimo	rg	O
con	sp	O
conocimientos	ncmp	O
de	sp	O
office	np00	B-REQ
a	sp	O
nivel	ncms	O
intermedio	aqms	O
.	fp	O

Conocimientos	ncmp	O
en	sp	O
operaciones	ncfp	B-REQ
unitarias	aqfp	I-REQ
de	sp	I-REQ
procesos	ncmp	I-REQ
industriales	aqcp	I-REQ
.	fp	O

Conocimientos	ncmp	O
en	sp	O
diseño	ncms	B-FUN
y	cc	I-FUN
evaluación	ncfs	I-FUN
de	sp	I-FUN
procesos	ncmp	I-FUN
industriales	aqcp	I-FUN
.	fp	O

Conocimientos	ncmp	O
en	sp	O
estrategias	ncfp	O
de	sp	O
control	ncms	B-REQ
de	sp	I-REQ
procesos	ncmp	I-REQ
industriales	aqcp	I-REQ
.	fp	O

Conocimientos	ncmp	O
de	sp	O
estudios	ncmp	O
de	sp	O
impacto	ncms	B-REQ
ambiental	aqcs	I-REQ
,	fc	O
planes	ncmp	B-REQ
de	sp	I-REQ
contingencia	ncfs	I-REQ
,	fc	O
estudio	ncms	O
de	sp	O
riesgos	ncmp	B-REQ
,	fc	O
estudios	ncmp	O
de	sp	O
factibilidad	ncfs	B-REQ
.	fp	O

Conocimiento	ncms	O
en	sp	O
procesos	ncmp	B-REQ
de	sp	I-REQ
instalaciones	ncfp	I-REQ
y	cc	O
nociones	ncfp	O
de	sp	O
fabricación	ncfs	B-REQ
.	fp	O

Conocimiento	ncms	O
de	sp	O
sistema	ncms	B-REQ
de	sp	I-REQ
simuladores	aqmp	I-REQ
de	sp	I-REQ
procesos	ncmp	I-REQ
.	fp	O

