Médico	ncms	B-JOB
ocupacional	aqcs	I-JOB
.	fp	O

Funciones	ncfp	O
:	fd	O

Diseñar	vmn	B-FUN
el	da0ms	I-FUN
sistema	ncms	I-FUN
de	sp	I-FUN
salud	ncfs	I-FUN
ocupacional	aqcs	I-FUN
y	cc	I-FUN
preventiva	aqfs	I-FUN
acorde	aqcs	I-FUN
con	sp	I-FUN
las	da0fp	I-FUN
normas	ncfp	I-FUN
legales	aqcp	I-FUN
laborales	aqcp	I-FUN
y	cc	I-FUN
políticas	ncmp	I-FUN
nacionales	aqcp	I-FUN
;	fx	O
asi	rg	O
como	cs	O
ejecutar	vmn	B-FUN
las	da0fp	I-FUN
acciones	ncfp	I-FUN
para	sp	I-FUN
su	dp3cs	I-FUN
implementación	ncfs	I-FUN
.	fp	O

Apoyar	vmn	B-FUN
en	sp	I-FUN
la	da0fs	I-FUN
aplicación	ncfs	I-FUN
del	sp	I-FUN
reglamento	ncms	I-FUN
de	sp	I-FUN
salud	ncfs	I-FUN
y	cc	I-FUN
seguridad	ncfs	I-FUN
ocupacional	aqcs	I-FUN
.	fp	O

Implementar	vmn	B-FUN
los	da0mp	I-FUN
programas	ncmp	I-FUN
de	sp	I-FUN
salud	ncfs	I-FUN
ocupacional	aqcs	I-FUN
y	cc	I-FUN
no	rn	I-FUN
ocupacional	aqcs	I-FUN
en	sp	I-FUN
los	da0mp	I-FUN
trabajadores	ncmp	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
empresa	ncfs	I-FUN
.	fp	O

Realizar	vmn	B-FUN
inspecciones	ncfp	I-FUN
y	cc	I-FUN
evaluaciones	ncfp	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
ambientes	ncmp	I-FUN
de	sp	I-FUN
trabajo	ncms	I-FUN
,	fc	I-FUN
de	sp	I-FUN
campo	ncms	I-FUN
,	fc	O
verificando	vmg	B-FUN
las	da0fp	I-FUN
condiciones	ncfp	I-FUN
de	sp	I-FUN
trabajo	ncms	I-FUN
y	cc	I-FUN
brindando	vmi	B-FUN
las	da0fp	I-FUN
recomendaciones	ncfp	I-FUN
y	cc	I-FUN
asesoría	vmi	I-FUN
para	sp	I-FUN
ayudar	vmn	I-FUN
a	sp	I-FUN
prevenir	vmn	I-FUN
accidentes	ncmp	I-FUN
de	sp	I-FUN
trabajo	ncms	I-FUN
y	cc	I-FUN
enfermedades	ncfp	I-FUN
profesionales	aqcp	I-FUN
.	fp	O

Brindar	vmn	B-FUN
charlas	ncfp	I-FUN
y	cc	I-FUN
capacitaciones	ncfp	I-FUN
al	sp	I-FUN
personal	ncms	I-FUN
y	cc	O
atención	ncfs	B-FUN
médica	ncfs	I-FUN
y/o	cc	I-FUN
asesoramiento	ncms	I-FUN
a	sp	I-FUN
las	da0fp	I-FUN
emergencias	ncfp	I-FUN
médicas	aqfp	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
trabajadores	ncmp	I-FUN
.	fp	O

Coordinar	vmn	B-FUN
con	sp	I-FUN
el	da0ms	I-FUN
área	ncfs	I-FUN
de	sp	I-FUN
bienestar	ncms	I-FUN
social	aqcs	I-FUN
el	da0ms	I-FUN
traslado	ncms	I-FUN
y	cc	I-FUN
acompanamiento	vmi	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
trabajadores	ncmp	I-FUN
con	sp	I-FUN
problemas	ncmp	I-FUN
de	sp	I-FUN
salud	ncfs	I-FUN
(	fpa	I-FUN
accidentes	ncmp	I-FUN
o	cc	I-FUN
enfermedades	ncfp	I-FUN
comunes	aqcp	I-FUN
)	fpt	I-FUN
a	sp	I-FUN
los	da0mp	I-FUN
centros	ncmp	I-FUN
medicos	aqmp	I-FUN
de	sp	I-FUN
referencia	ncfs	I-FUN
,	fc	I-FUN
cuando	cs	I-FUN
se	p0000	I-FUN
requiera	vms	I-FUN
atención	ncfs	I-FUN
médica	aqfs	I-FUN
especializada	vmp	I-FUN
o	cc	I-FUN
exámenes	ncmp	I-FUN
auxiliares	aqcp	I-FUN
diagnósticos	ncmp	I-FUN
.	fp	O

Brindar	vmn	B-FUN
aportes	ncmp	I-FUN
en	sp	I-FUN
la	da0fs	I-FUN
investigación	ncfs	I-FUN
de	sp	I-FUN
accidentes	ncmp	I-FUN
laborales	aqcp	I-FUN
que	pr0cn	I-FUN
permitan	vms	I-FUN
identificar	vmn	I-FUN
causas	ncfp	I-FUN
y	cc	O
brindar	vmn	B-FUN
las	da0fp	I-FUN
recomendaciones	ncfp	I-FUN
respectivas	aqfp	I-FUN
para	sp	I-FUN
prevenir	vmn	I-FUN
accidentes	ncmp	I-FUN
en	sp	I-FUN
el	da0ms	I-FUN
futuro	ncms	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
trabajadores	ncmp	I-FUN
.	fp	O

Realizar	vmn	B-FUN
el	da0ms	I-FUN
seguimiento	ncms	I-FUN
y	cc	I-FUN
control	ncms	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
exámenes	ncmp	I-FUN
médico	vmi	I-FUN
pre	aqcn	I-FUN
ocupacionales	ncmp	I-FUN
y	cc	I-FUN
periodicos	ncmp	I-FUN
.	fp	O

Efectuar	vmn	B-FUN
estadísticas	ncfp	I-FUN
y	cc	I-FUN
tasas	ncfp	I-FUN
de	sp	I-FUN
análisis	ncms	I-FUN
de	sp	I-FUN
accidentes	ncmp	I-FUN
y	cc	I-FUN
enfermedades	ncfp	I-FUN
ocupacionales	aqfp	I-FUN
.	fp	O

Requerimientos	ncmp	O
:	fd	O

Perfil	ncms	O

Medico	np00	B-CARR
cirujano	np00	I-CARR
titulado	aqms	B-REQ
y	cc	O
con	sp	O
colegiatura	ncms	B-REQ
vigente	aqcs	O
en	sp	O
medicina	np00	B-CARR
;	fx	O
deberá	vmi	O
contar	vmn	O
con	sp	O
:	fd	O

Segunda	aofs	O
especialidad	ncfs	O
en	sp	O
medicina	ncfs	B-AREA
ocupacional	aqcs	I-AREA
y	cc	O
medio	pn0ms	B-AREA
ambiente	ncms	I-AREA
,	fc	O
medicina	ncfs	B-AREA
del	sp	I-AREA
trabajo	ncms	I-AREA
,	fc	O

Maestría	ncfs	B-REQ
en	sp	O
salud	ncfs	B-REQ
ocupacional	aqcs	I-REQ
,	fc	O
o	cc	O
maestría	ncfs	B-REQ
en	sp	O
salud	ncfs	B-REQ
ocupacional	aqcs	I-REQ
y	cc	I-REQ
ambiental	aqcs	I-REQ
,	fc	O
o	cc	O
maestría	ncfs	B-REQ
en	sp	O
medicina	ncfs	B-REQ
ocupacional	aqcs	I-REQ
y	cc	O
medio	pn0ms	B-REQ
ambiente	ncms	I-REQ
.	fp	O

Disposición	ncfs	O
para	sp	O
viajar	vmn	O
.	fp	O

Perfil	ncms	O

Excepcionalmente	rg	O
los	da0mp	O
médico	np00	B-CARR
cirujano	np00	I-CARR
,	fc	O
colegiado	aqms	B-REQ
y	cc	O
habilitado	aqms	B-REQ
que	cs	O
se	p0000	O
encuentren	vms	O
recién	rg	O
egresados	aqmp	O
deberán	vmi	O
contar	vmn	O
un	di0ms	O
mínimo	ncms	O
de	sp	O
01	z	O
año	ncms	O
de	sp	O
prácticas	ncfp	O
.	fp	O

Los	da0mp	O
médico	np00	B-CARR
cirujano	np00	I-CARR
,	fc	O
colegiado	aqms	B-REQ
y	cc	O
habilitado	aqms	B-REQ
que	cs	O
cuenten	vms	O
con	sp	O
diplomado	ncms	B-REQ
en	sp	O
salud	ncfs	B-REQ
ocupacional	aqcs	I-REQ
con	sp	O
un	di0ms	O
mínimo	ncms	O
de	sp	O
36	z	O
créditos	ncmp	O
y	cc	O
con	sp	O
03	z	O
años	ncmp	O
de	sp	O
experiencia	ncfs	O
.	fp	O

disposición	ncfs	O
para	sp	O
viajar	vmn	O
.	fp	O

