COORDINADOR	ncms	B-JOB
DE	sp	I-JOB
ESTUDIOS	ncmp	I-JOB
AMBIENTALES	aqcp	I-JOB
.	fp	O

*	fz	O
Liderar	vmn	B-FUN
el	da0ms	I-FUN
área	ncfs	I-FUN
medioambiental	aqcs	I-FUN
.	fp	O

*	fz	O
Planificar	vmn	B-FUN
,	fc	I-FUN
organizar	vmn	I-FUN
,	fc	I-FUN
elaborar	vmn	I-FUN
y	cc	I-FUN
ejecutar	vmn	I-FUN
proyectos	ncmp	I-FUN
.	fp	O

*	fz	O
Realizar	vmn	B-FUN
estudios	ncmp	I-FUN
medioambientales	aqcp	I-FUN
(	fpa	I-FUN
EIA	np00	I-FUN
,	fc	I-FUN
DAP	np00	I-FUN
,	fc	I-FUN
PAMA	np00	I-FUN
,	fc	I-FUN
DIA	np00	I-FUN
,	fc	I-FUN
EA	np00	I-FUN
,	fc	I-FUN
EAP	vmi	I-FUN
entre	sp	I-FUN
otras	pi0fp	I-FUN
)	fpt	O

*	fz	O
Planificar	vmn	B-FUN
y	cc	I-FUN
participar	vmn	I-FUN
en	sp	I-FUN
reuniones	ncfp	I-FUN
con	sp	I-FUN
potenciales	aqcp	I-FUN
clientes	nccp	I-FUN
.	fp	O

*	fz	O
Realizar	vmn	B-FUN
seguimientos	ncmp	I-FUN
a	sp	I-FUN
las	da0fp	I-FUN
propuestas	ncfp	I-FUN
técnico	aqfp	I-FUN
económicas	aqfp	I-FUN
.	fp	O

y	cc	O
otras	di0fp	O
relacionadas	aqfp	O
con	sp	O
el	da0ms	O
cargo	ncms	O
.	fp	O

Elaborar	vmn	B-FUN
y	cc	I-FUN
revisar	vmn	I-FUN
la	da0fs	I-FUN
línea	ncfs	I-FUN
base	nccs	I-FUN
ambiental	aqcs	I-FUN
,	fc	I-FUN
estudio	ncms	I-FUN
del	sp	I-FUN
sitio	ncms	I-FUN
,	fc	I-FUN
diagnóstico	ncms	I-FUN
,	fc	I-FUN
plan	ncms	I-FUN
de	sp	I-FUN
manejo	ncms	I-FUN
ambiental	aqcs	I-FUN
y	cc	I-FUN
plan	ncms	I-FUN
de	sp	I-FUN
monitoreo	ncms	I-FUN
.	fp	O

*	fz	O
Elaborar	vmn	B-FUN
estudios	ncmp	I-FUN
ambientales	aqcp	I-FUN
y	cc	I-FUN
ejecutar	vmn	I-FUN
los	da0mp	I-FUN
servicios	ncmp	I-FUN
en	sp	I-FUN
los	da0mp	I-FUN
plazos	ncmp	I-FUN
pactados	aqmp	I-FUN
con	sp	I-FUN
el	da0ms	I-FUN
cliente	nccs	I-FUN
.	fp	O

*	fz	O
Realizar	vmn	B-FUN
visitas	ncfp	I-FUN
a	sp	I-FUN
las	da0fp	I-FUN
áreas	ncfp	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
estudios	ncmp	I-FUN
con	sp	I-FUN
salidas	ncfp	I-FUN
a	sp	I-FUN
campo	ncms	I-FUN
para	sp	I-FUN
realizar	vmn	I-FUN
levantamiento	ncms	I-FUN
de	sp	I-FUN
información	ncfs	I-FUN
.	fp	O

*	fz	O
Coordinar	vmn	B-FUN
las	da0fp	I-FUN
reuniones	ncfp	I-FUN
con	sp	I-FUN
los	da0mp	I-FUN
clientes	nccp	I-FUN
y/o	cc	I-FUN
consultores	ncmp	I-FUN
externos	aqmp	I-FUN
.	fp	O

*	fz	O
Coordinar	vmn	B-FUN
las	da0fp	I-FUN
reuniones	ncfp	I-FUN
con	sp	I-FUN
las	da0fp	I-FUN
entidades	ncfp	I-FUN
evaluadoras	aqfp	I-FUN
.	fp	O

*	fz	O
Elaborar	vmn	B-FUN
propuestas	ncfp	I-FUN
técnica	aqfs	I-FUN
-	fg	I-FUN
económica	aqfs	I-FUN
.	fp	O

*	fz	O
Realizar	vmn	B-FUN
el	da0ms	I-FUN
procesamiento	ncms	I-FUN
y	cc	I-FUN
búsqueda	ncfs	I-FUN
de	sp	I-FUN
información	ncfs	I-FUN
.	fp	O

Declaración	ncfs	B-FUN
de	sp	I-FUN
impacto	ncms	I-FUN
ambiental	aqcs	I-FUN
-	fg	I-FUN
DIA	np00	I-FUN
/	fh	I-FUN
Declaración	ncfs	I-FUN
jurada	aqfs	I-FUN
ambiental	aqcs	I-FUN
.	fp	O

Diagnóstico	ncms	B-FUN
ambiental	aqcs	I-FUN
preliminar	aqcs	I-FUN
-	fg	I-FUN
DAP	np00	I-FUN
/	fh	I-FUN
Estudio	ncms	I-FUN
de	sp	I-FUN
impacto	ncms	I-FUN
ambiental	aqcs	I-FUN
-	fg	I-FUN
EIA	np00	I-FUN
.	fp	O

Estudio	ncms	B-FUN
hidrobiológico	aqms	I-FUN
/	fh	I-FUN
Estudio	ncms	I-FUN
hidrológico	aqms	I-FUN
e	cc	I-FUN
hidrogeológico	aqms	I-FUN

Estudio	ncms	B-FUN
hidro	aqcn	I-FUN
-	fg	I-FUN
oceanográfico	aqms	I-FUN
/	fh	I-FUN
Evaluación	ncfs	I-FUN
ambiental	aqcs	I-FUN
-	fg	I-FUN
EA	np00	I-FUN

Evaluación	ncfs	B-FUN
ambiental	aqcs	I-FUN
preliminar	aqcs	I-FUN
-	fg	I-FUN
EAP	np00	I-FUN
/	fh	I-FUN
Evaluación	np00	I-FUN
biológica	aqfs	I-FUN
:	fd	I-FUN
flora	ncfs	I-FUN
y	cc	I-FUN
fauna	ncfs	I-FUN

Informe	ncms	B-FUN
de	sp	I-FUN
programas	ncmp	I-FUN
de	sp	I-FUN
monitoreo	ncms	I-FUN
Licencias	ncfp	I-FUN
,	fc	I-FUN
permisos	ncmp	I-FUN
y	cc	I-FUN
registros	ncmp	I-FUN
de	sp	I-FUN
EPS	np00	I-FUN
-	fg	I-FUN
RS	np00	I-FUN
y	cc	I-FUN
EC	np00	I-FUN
-	fg	I-FUN
RS	np00	I-FUN

Plan	ncms	B-FUN
de	sp	I-FUN
cierre	ncms	I-FUN
o	cc	I-FUN
abandono	ncms	I-FUN
/	fh	I-FUN
Plan	ncms	I-FUN
de	sp	I-FUN
manejo	ncms	I-FUN
ambiental	aqcs	I-FUN
/	fh	I-FUN
Plan	ncms	I-FUN
de	sp	I-FUN
manejo	ncms	I-FUN
de	sp	I-FUN
residuos	ncmp	I-FUN
