Supervisor	ncms	B-JOB
principal	aqcs	I-JOB
-	fg	O
Departamento	ncms	B-AREA
actuarial	aqcs	I-AREA
.	fp	O

Funciones	ncfp	O
:	fd	O

Revisar	vmn	B-FUN
las	da0fp	I-FUN
políticas	ncfp	I-FUN
y	cc	I-FUN
procedimientos	ncmp	I-FUN
de	sp	I-FUN
administración	ncms	I-FUN
de	sp	I-FUN
riesgos	ncmp	I-FUN
técnicos	aqmp	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
empresas	ncfp	I-FUN
supervisadas	aqfp	I-FUN
.	fp	O

Revisar	vmn	B-FUN
y	cc	I-FUN
evaluar	vmn	I-FUN
las	da0fp	I-FUN
metodologías	ncfp	I-FUN
de	sp	I-FUN
tarifas	ncfp	I-FUN
y	cc	I-FUN
reservas	ncfp	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
seguros	ncmp	I-FUN
.	fp	O

Participar	vmn	B-FUN
en	sp	I-FUN
proyectos	ncmp	I-FUN
de	sp	I-FUN
consultoría	ncms	I-FUN
en	sp	I-FUN
el	da0ms	I-FUN
área	ncfs	I-FUN
de	sp	I-FUN
seguros	ncmp	I-FUN
.	fp	O

Revisar	vmn	B-FUN
y	cc	I-FUN
evaluar	vmn	I-FUN
la	da0fs	I-FUN
metodología	ncfs	I-FUN
para	sp	I-FUN
la	da0fs	I-FUN
medición	ncfs	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
gestión	ncfs	I-FUN
de	sp	I-FUN
riesgos	ncmp	I-FUN
técnicos	aqmp	I-FUN
que	pr0cn	I-FUN
asumen	vmi	I-FUN
las	da0fp	I-FUN
empresas	ncfp	I-FUN
bajo	sp	I-FUN
supervisión	ncfs	I-FUN
.	fp	O

Revisar	vmn	B-FUN
y	cc	I-FUN
evaluar	vmn	I-FUN
las	da0fp	I-FUN
notas	ncfp	I-FUN
técnicas	aqfp	I-FUN
y	cc	I-FUN
los	da0mp	I-FUN
informes	ncmp	I-FUN
actuariales	aqmp	I-FUN
que	pr0cn	I-FUN
presentan	vmi	I-FUN
las	da0fp	I-FUN
empresas	ncfp	I-FUN
supervisadas	aqfp	I-FUN
.	fp	O

Evaluar	vmn	B-FUN
,	fc	I-FUN
diseñar	vmn	I-FUN
y	cc	I-FUN
aplicar	vmn	I-FUN
métodos	ncmp	I-FUN
y	cc	I-FUN
procedimientos	ncmp	I-FUN
de	sp	I-FUN
supervisión	ncfs	I-FUN
de	sp	I-FUN
