Docente	nccs	B-JOB
de	sp	O
física	ncfs	B-AREA
-	fg	O
turno	ncms	B-MISC
tarde	rg	I-MISC
.	fp	O

Funciones	ncfp	O
:	fd	O

Requerimientos	ncmp	O
:	fd	O

Disponibilidad	ncfs	O
de	sp	O
lunes	w	B-DATE
a	sp	I-DATE
viernes	w	I-DATE
a	sp	O
partir	vmn	O
de	sp	O
las	da0fp	O
5:00	w	B-DATE
pm	w	I-DATE
hasta	sp	I-DATE
las	da0fp	I-DATE
8:30	w	I-DATE
pm	w	I-DATE
.	fp	O

Desarrollar	vmn	B-FUN
la	da0fs	I-FUN
clase	ncfs	I-FUN
con	sp	I-FUN
dinamismo	ncms	I-FUN
y	cc	I-FUN
creatividad	ncfs	I-FUN
,	fc	O
motivando	vmg	B-FUN
el	da0ms	I-FUN
pensamiento	ncms	I-FUN
crítico	vmi	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
alumnos	ncmp	I-FUN
.	fp	O

