Relacionista	nccs	B-JOB
comunitario	aqms	I-JOB
Arequipa	np00	B-LUG
.	fp	O

Funciones	ncfp	O
:	fd	O

Requerimientos	ncmp	O
:	fd	O

Profesional	aqcs	O
de	sp	O
las	da0fp	O
carreras	ncfp	O
de	sp	O
derecho	np00	B-CARR
,	fc	O
antropología	np00	B-CARR
,	fc	O
sociología	np00	B-CARR
,	fc	O
ingeniería	np00	B-CARR
industrial	np00	I-CARR
o	cc	O
carreras	ncfp	B-CARR
afines	aqcp	I-CARR
.	fp	O

Experiencia	ncfs	O
de	sp	O
cinco	z	O
(	fpa	O
05	z	O
)	fpt	O
años	ncmp	O
en	sp	O
posiciones	ncfp	O
similares	aqcp	O
.	fp	O

Experiencia	ncfs	O
en	sp	O
negociación	ncms	B-FUN
de	sp	I-FUN
tierras	ncfp	I-FUN
y	cc	O
resolución	ncfs	B-FUN
de	sp	I-FUN
conflictos	ncmp	I-FUN
.	fp	O

Conocimiento	ncms	O
en	sp	O
desarrollo	ncms	B-FUN
e	cc	I-FUN
implementación	ncfs	I-FUN
de	sp	I-FUN
proyectos	ncmp	I-FUN
-	fg	I-FUN
obras	ncfp	I-FUN
por	sp	I-FUN
impuesto	ncms	I-FUN
.	fp	O

Manejo	ncms	O
de	sp	O
office	np00	B-REQ
a	sp	O
nivel	ncms	O
intermedio	aqms	O
.	fp	O

Disponibilidad	ncfs	O
para	sp	O
trabajar	vmn	B-MISC
en	sp	I-MISC
provincia	ncfs	I-MISC
(	fpa	O
Arequipa	np00	B-LUG
)	fpt	O

