AUXILIAR	nc	B-JOB
DE	sp	I-JOB
ALMACEN	nc	I-JOB

¡	fa	O
Forma	vmi	O
Parte	rg	O
de	sp	O
Nuestra	det	O
Familia	nc	O
!	fa	O

Concecionario	np	B-ORG
Charlotte	np	I-ORG

Por	sp	O
ampliación	nc	O
y	cc	O
apertura	nc	O
de	sp	O
nuevos	adj	O
locales	nc	O
necesitamos	vmi	O
incorporar	vmn	O
a	sp	O
nuestro	det	O
equipo	nc	O
de	sp	O
trabajo	nc	O
personal	adj	O
con	sp	O
experiencia	nc	O
en	sp	O
concesionarios	nc	O
,	fc	O
cafeterías	nc	O
,	fc	O
restaurantes	nc	O
,	fc	O
clínicas	nc	O
,	fc	O
hospitales	nc	O
.	fp	O

Para	sp	O
los	det	O
distritos	nc	O
de	sp	O
Barranco	np	B-LUG
,	fc	O
Surco	np	B-LUG
,	fc	O
La	det	B-LUG
Molina	np	I-LUG
,	fc	O
San	np	B-LUG
Borja	np	I-LUG
,	fc	O
San	np	B-LUG
Isidro	np	I-LUG
,	fc	O
Miraflores	np	B-LUG
,	fc	O
Callao	np	B-LUG
,	fc	O
Chorrillos	np	B-LUG
.	fp	O

*	fz	O
Exp	nc	O
.	fp	O
1	z	O
año	nc	O
,	fc	O
en	sp	O
manejo	nc	B-FUN
de	sp	I-FUN
productos	nc	I-FUN
perecibles	adj	I-FUN
,	fc	O
La	det	B-LUG
Molina	np	I-LUG
.	fp	O

Portando	vmg	O
tu	det	O
CV	np	O
.	fp	O
a	sp	O
nuestra	det	O
sede	nc	O
de	sp	O
Av	np	B-LUG
.	fp	I-LUG
Jorge	np	I-LUG
Chavez	np	I-LUG
1241	z	I-LUG
(	fpa	O
Distrito	nc	O
de	sp	O
Surco	np	B-LUG
.	fp	O
frente	nc	O
a	sp	O
la	det	O
puerta	nc	O
Principal	adj	O
de	sp	O
Makro	np	B-ORG
)	fpt	O

Lunes	w	B-DATE
a	sp	I-DATE
Jueves	w	I-DATE
de	sp	I-DATE
9	w	I-DATE
a	w	I-DATE
m.	w	I-DATE
-	fg	I-DATE
12	w	I-DATE
pm	w	I-DATE
.	fp	I-DATE
y	cc	O
2	w	B-DATE
pm	w	I-DATE
.	fp	I-DATE
-	fg	I-DATE
5	w	I-DATE
pm	w	I-DATE
.	fp	I-DATE
Viernes	w	B-DATE
9	w	I-DATE
am	w	I-DATE
.	w	I-DATE
a	sp	I-DATE
1pm	w	I-DATE
.	fp	O

Técnico	nc	B-REQ
Titulado	adj	I-REQ
en	sp	O
Gastronomía	np	B-CARR
.	fp	O

Técnico	nc	B-REQ
Titulado	adj	I-REQ
en	sp	O
Gastronomía	np	B-CARR
.	fp	O

Técnico	nc	B-REQ
Titulado	adj	I-REQ
en	sp	O
Administración	np	B-REQ
Turismo	np	I-REQ
y	cc	I-REQ
Hotelería	np	I-REQ
.	fp	O

Universitario	nc	O
Titulado	adj	I-REQ
en	sp	O
Nutrición	np	B-CARR
.	fp	O

Universitario	nc	O
Titulado	adj	I-REQ
en	sp	O
Ingeniería	np	B-CARR
Industrias	np	I-CARR
Alimentarias	np	I-CARR
.	fp	O

Técnico	nc	B-REQ
Titulado	adj	I-REQ
en	sp	O
Administración	np	B-CARR
.	fp	O

Técnico	nc	B-REQ
Titulado	adj	I-REQ
en	sp	O
Administración	np	B-CARR
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Hotelería	np	B-AREA
/	fh	O
Turismo	np	B-AREA
/	fh	O
Restaurantes	np	B-AREA
con	sp	O
2	z	O
años	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Hotelería	np	B-AREA
/	fh	O
Turismo	np	B-AREA
/	fh	O
Restaurantes	np	B-AREA
con	sp	O
2	z	O
años	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Hotelería	np	B-AREA
/	fh	O
Turismo	np	B-AREA
/	fh	O
Restaurantes	np	B-AREA
con	sp	O
1	z	O
año	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Operaciones	np	B-AREA
con	sp	O
3	z	O
meses	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Atención	nc	B-AREA
al	sp	I-AREA
Cliente	nc	I-AREA
con	sp	O
6	z	O
meses	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Atención	nc	B-AREA
al	sp	I-AREA
Cliente	nc	I-AREA
con	sp	O
3	z	O
meses	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Atención	nc	B-AREA
al	sp	I-AREA
Cliente	nc	I-AREA
con	sp	O
1	z	O
año	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Otros	pron	B-AREA
con	sp	O
2	z	O
años	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Contabilidad	np	B-AREA
con	sp	O
2	z	O
años	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Ingeniería	np	B-AREA
con	sp	O
2	z	O
años	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Mantenimiento	nc	B-AREA
con	sp	O
3	z	O
años	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Administración	np	B-AREA
/	fh	O
Servicios	np	B-AREA
Generales	np	I-AREA
con	sp	O
2	z	O
años	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Administración	np	B-AREA
/	fh	O
Servicios	np	B-AREA
Generales	np	I-AREA
con	sp	O
1	z	O
año	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

Experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
Almacén	nc	B-AREA
con	sp	O
1	z	O
año	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

