ingeniero	nc	B-JOB
csms	np	I-JOB

funciones	nc	O
:	fd	O

requerimientos	nc	O
:	fd	O

universitario	nc	O
bachillerato	nc	O
en	sp	O
ingeniería	np	B-CARR
de	sp	I-CARR
minas	np	I-CARR
.	fp	O

universitario	nc	O
bachillerato	nc	O
en	sp	O
ingeniería	np	B-CARR
ambiental	np	I-CARR
.	fp	O

universitario	nc	O
bachillerato	nc	O
en	sp	O
ingeniería	np	B-CARR
en	sp	I-CARR
higiene	np	I-CARR
y	cc	I-CARR
seguridad	np	I-CARR
industrial	np	I-CARR
.	fp	O

universitario	nc	O
bachillerato	nc	O
en	sp	O
ingeniería	np	B-CARR
industrial	np	I-CARR
.	fp	O

experiencia	nc	O
:	fd	O

en	sp	O
el	det	O
área	nc	O
de	sp	O
operaciones	nc	B-AREA
con	sp	O
4	z	O
años	nc	O
de	sp	O
experiencia	nc	O
.	fp	O

idioma	nc	O

inglés	np	B-REQ
a	sp	O
nivel	nc	O
intermedio	adj	O

manejo	nc	O
de	sp	O
programas	nc	O
:	fd	O

microsoft	np	B-REQ
excel	np	I-REQ
a	sp	O
nivel	nc	O
intermedio	adj	O
,	fc	O
microsoft	np	B-REQ
excel	np	I-REQ
a	sp	O
nivel	nc	O
intermedio	adj	O
.	fp	O

conocimiento	nc	O
en	sp	O
normas	nc	B-REQ
seguridad	nc	I-REQ
ohsas	np	I-REQ
18001	z	I-REQ
,	fc	O
iso	np	B-REQ
14001	z	I-REQ
,	fc	O
iso	np	B-REQ
9001	z	I-REQ
(	fpa	O
obligatorio	adj	O
)	fpt	O

dominio	nc	O
de	sp	O
inglés	np	B-REQ
(	fpa	O
deseable	adj	O
)	fpt	O

experiencia	nc	O
en	sp	O
calidad	nc	B-AREA
,	fc	O
medio	nc	B-AREA
ambiente	nc	I-AREA
,	fc	O
seguridad	nc	B-AREA
y	cc	I-AREA
salud	nc	I-AREA
ocupacional	adj	I-AREA
en	sp	I-AREA
minas	nc	I-AREA
.	fp	O

conocimiento	nc	O
en	sp	O
normas	nc	B-REQ
seguridad	nc	I-REQ
ohsas	np	I-REQ
18001	z	I-REQ
,	fc	O
iso	np	B-REQ
14001	z	I-REQ
,	fc	O
iso	np	B-REQ
9001	z	I-REQ

